frame_id,timestamp,tracking_state,error_px,latency_ms,atmosphere,gaussian_std,sp_density,platform_offset,jitter_offset
75,2.533333333333334,LOCKED,16.668842901144313,13.813257217407227,Fog,12.0,0.04,"(-0.3350052298336036, -7.992982640790866)","(3.915503090332294, 4.7539292620772)"
76,2.5666666666666673,LOCKED,4.82428696754665,13.151884078979492,Fog,12.0,0.04,"(-0.669422746658531, -7.971942873996034)","(-4.317010932016671, 0.6484337224685923)"
77,2.6000000000000005,LOCKED,5.911726998378569,13.006925582885742,Fog,12.0,0.04,"(-1.0026658685144378, -7.936917610515822)","(-4.697091106374677, 2.06688111647774)"
78,2.6333333333333337,LOCKED,8.836410147484903,14.044523239135742,Fog,12.0,0.04,"(-1.3341499737288225, -7.887968296564039)","(-2.6251945939319, 1.9130716163028207)"
79,2.666666666666667,LOCKED,14.583870001220049,14.119863510131836,Fog,12.0,0.04,"(-1.663293526542076, -7.825180805870445)","(2.7239353714425913, 3.2237699030118847)"
80,2.7,LOCKED,6.615017975368011,14.470577239990234,Fog,12.0,0.04,"(-1.9895190973188401, -7.748665289029049)","(-4.707108648529241, 4.9921421416512946)"
81,2.7333333333333334,LOCKED,11.091418843781915,14.831304550170898,Fog,12.0,0.04,"(-2.3122543755557716, -7.658555980256539)","(-3.23743210926143, -5.551049325885843)"
82,2.7666666666666666,LOCKED,11.67951283039039,15.988588333129883,Fog,12.0,0.04,"(-2.630933173908665, -7.555010961899849)","(0.6582296326978003, -1.5489325936507345)"
83,2.8,LOCKED,15.077104206444707,17.16923713684082,Fog,12.0,0.04,"(-2.94499642147742, -7.4382118871060126)","(3.9574769175889575, 3.699017664771622)"
84,2.833333333333333,LOCKED,9.422768511127218,14.233827590942383,Fog,12.0,0.04,"(-3.2538931446063986, -7.308363661140809)","(-2.194333286127416, 5.43479274083694)"
85,2.8666666666666663,LOCKED,7.304769767155994,14.108657836914062,Fog,12.0,0.04,"(-3.557081433479414, -7.165694081915306)","(-2.5089859423185765, 0.18068555078057447)"
86,2.8999999999999995,LOCKED,8.342004558377004,14.781713485717773,Fog,12.0,0.04,"(-3.854029392813717, -7.010453440350911)","(-2.928418913188767, 5.23252284058756)"
87,2.9333333333333327,LOCKED,10.110614677031622,15.066146850585938,Fog,12.0,0.04,"(-4.144216074985033, -6.842914081284058)","(-4.024706189015783, -5.461072567292052)"
88,2.966666666666666,LOCKED,10.88326818855388,13.16213607788086,Fog,12.0,0.04,"(-4.427132393946746, -6.663369925680801)","(-0.7788352799635447, 5.908506768670044)"
89,2.999999999999999,LOCKED,14.815624778231733,11.779308319091797,Fog,12.0,0.04,"(-4.702282018339775, -6.472135954999587)","(4.700127195058968, 2.98329623348339)"
90,3.0333333333333323,LOCKED,13.016603562873785,18.995046615600586,Fog,12.0,0.04,"(-4.9691822422264735, -6.269547658606725)","(4.689509890542299, 4.721359676374359)"
91,3.0666666666666655,LOCKED,10.618729826290965,19.074678421020508,Fog,12.0,0.04,"(-5.227364831920835, -6.055960445214058)","(0.22630032463738914, -2.208851378030484)"
92,3.0999999999999988,LOCKED,11.676484228290574,15.24209976196289,Fog,12.0,0.04,"(-5.476376847429499, -5.831749019371302)","(3.2641491853318563, 1.9399351580131334)"
93,3.133333333333332,LOCKED,11.914624293793011,18.125057220458984,Fog,12.0,0.04,"(-5.715781437062417, -5.597306724106933)","(-1.5161072535154787, -4.866399983261816)"
94,3.166666666666665,LOCKED,11.667098780196392,20.323514938354492,Fog,12.0,0.04,"(-5.945158603819143, -5.353044850870878)","(2.961475336188311, -2.850473808925624)"
95,3.1999999999999984,LOCKED,14.256374022414969,15.230655670166016,Fog,12.0,0.04,"(-6.164105942206302, -5.099391917989533)","(5.241757806405351, -3.108353099931783)"
96,3.2333333333333316,LOCKED,1.7647135547535933,14.42861557006836,Fog,12.0,0.04,"(-6.3722393441935585, -4.836792918899015)","(-4.526904811062168, 3.973352065498874)"
97,3.266666666666665,LOCKED,9.76754244217453,14.58120346069336,Fog,12.0,0.04,"(-6.569193673069622, -4.565708541475469)","(-4.160588200506071, -3.848780302107131)"
98,3.299999999999998,LOCKED,8.462953418230517,17.870664596557617,Fog,12.0,0.04,"(-6.754623404016111, -4.286614359831988)","(1.1925934982501225, 4.494744490049573)"
99,3.3333333333333313,LOCKED,10.081084103854671,29.0067195892334,Fog,12.0,0.04,"(-6.928203230275496, -4.000000000000021)","(-3.642784011425121, -2.2761159251988627)"
100,3.3666666666666645,LOCKED,12.741399413371239,19.401073455810547,Fog,12.0,0.04,"(-7.089628633849706, -3.7063682809589156)","(3.328858058894131, 5.661917112731608)"
101,3.3999999999999977,LOCKED,14.773331043534506,18.92399787902832,Fog,12.0,0.04,"(-7.238616419728146, -3.406234332520603)","(0.008894234428107772, -4.273229969384991)"
102,3.433333333333331,LOCKED,8.8804616314275,14.191150665283203,Fog,12.0,0.04,"(-7.374905212707995, -3.1001246916168457)","(-5.832764547501581, -3.244127640013737)"
103,3.466666666666664,LOCKED,6.508129281985051,14.478206634521484,Fog,12.0,0.04,"(-7.498255915935122, -2.7885763785745503)","(-4.418133386561747, 2.1319040833542893)"
104,3.4999999999999973,LOCKED,8.702339853180685,12.900352478027344,Fog,12.0,0.04,"(-7.608452130361219, -2.4721359549996076)","(-4.5380099444576265, 0.07595917944759556)"
105,3.5333333333333306,LOCKED,14.040646709727516,18.46909523010254,Fog,12.0,0.04,"(-7.705300534381258, -2.151358564922154)","(2.331149227714638, 0.9733993106508283)"
106,3.5666666666666638,LOCKED,6.132386116459174,13.985633850097656,Fog,12.0,0.04,"(-7.788631222985275, -1.826806960885274)","(-3.6026921800793086, 3.6494943141871516)"
107,3.599999999999997,LOCKED,13.981028609482248,14.713048934936523,Fog,12.0,0.04,"(-7.858298005829504, -1.499050516685825)","(2.5848855553896204, 2.8678080469865)"
108,3.63333333333333,LOCKED,14.77857344179206,16.265392303466797,Fog,12.0,0.04,"(-7.914178663703901, -1.1686642284993276)","(-4.427306981312241, -4.514954356195865)"
109,3.6666666666666634,LOCKED,16.881490280920715,16.33739471435547,Fog,12.0,0.04,"(-7.956175162946183, -0.8362277061412622)","(5.130750612078092, -1.2290616741007128)"
110,3.6999999999999966,LOCKED,10.333236519304256,15.140295028686523,Fog,12.0,0.04,"(-7.984213827426171, -0.5023241562345411)","(-2.388615698628723, -0.1369914557816001)"
111,3.73333333333333,LOCKED,10.328855830872769,15.943050384521484,Fog,12.0,0.04,"(-7.998245467798763, -0.16753935906688935)","(1.9543705531629891, 5.467479084563639)"
112,3.766666666666663,LOCKED,6.541910263200719,16.213178634643555,Fog,12.0,0.04,"(-7.998245467798765, 0.16753935906681536)","(-2.56264527741534, 5.0977011517443245)"
113,3.7999999999999963,LOCKED,11.272304404320723,11.56473159790039,Fog,12.0,0.04,"(-7.984213827426175, 0.5023241562344672)","(-5.701686103364924, 0.6623765079218966)"
114,3.8333333333333295,LOCKED,19.76514301088099,14.222145080566406,Fog,12.0,0.04,"(-7.956175162946191, 0.8362277061411886)","(1.607701340173021, -4.729231154990961)"
